glott_code,style,form,t1,t2,gloss
ampa1238,B.1,pon-,pɔ̰́ɔ̰̀,pɔ̂:ⁿ,fonio
anyi1245,A.2.b,fon,ńfônì,ńfônì,Digitaria exilis  Stapf [family ]
baat1238,B.1,pod,podgi,podgi,Digitaria exilis  Stapf [family ]
bady1239,B.1,pon-,pooɲa,pooɲa,fonio.
bala1301,A.2.b,fin,fenhe,fenhe,Digitaria exilis  Stapf [family ]
bala1302,J,wura,wúrā,wúrā,plante sp. (fonio)
bala1302,A.2.b,fin-d,fíndì,fíndì,fonio (en grains)
bamb1269,A.2.b,fin-ny,fínḭ́,fínḭ́,"Digitaria exilis, fonio, éleusine"
bang1363,K,wii,wīī-bɛ̀,wīī-bɛ̀,fonio
bank1259,B.1,pon-,pɔ̰̌,pɔ̌ⁿ,fonio
bass1258,A.1.a,fon-ny,fu`nya´Ñ,funyaÑ,"Digitaria exilis, fonio"
bass1258,A.2.d,fon-ny,funyaŋ i-бanax,funyaŋ i-бanax,Digitaria exilis  Stapf [family ]
bayo1255,B.3,bona,ebonay,ebonay,Digitaria exilis  Stapf [family ]
bedi1235,A.1.b,fon-d,fɔ́ndɛ́ŋ,fɔ́ndɛ́ŋ,fonio
bent1238,B.1,pon-,pɔ̌-j̃,pɔ̌yⁿ,fonio
biaf1240,A.2.b,-fin-,bofinhe,bofinhe,Digitaria exilis  Stapf [family ]
bobo1253,A.3.a,fan,fan,fan,Digitaria exilis  Stapf [family ]
bomu1247,B.2,pen-,pènù,pènù / pèré,"fonio, Digitaria exilis"
bond1248,B.1,pon-,pɔ̰̀ɔ̰́,pɔ̌:ⁿ,fonio
bozo1252,A.1.a,fon-ny,fuo˜,fuo˜,fonio (Digitaris exilis)
bull1247,B.2,pen-,pénɛ̀,pénɛ̀,"fonio, millet (Pennisetum leonis)"
cent2048,A.1.b,fon-d,fonde,fonde,Digitaria exilis  Stapf [family ]
dagb1246,L,kabega,kabega,kabega,Digitaria exilis  Stapf [family ]
dann1241,B.1,poh,pohin,pohin,Digitaria exilis  Stapf [family ]
dend1243,G,densinbi,deÑsib(w)øÑtÆ,deÑsib(w)øÑtÆ,fonio
dend1243,H,hantaya,háŋtáájà,háŋtááyà,fonio
dogo1299,B.1,pon-,põ,põ,Digitaria exilis  Stapf [family ]
donn1239,B.1,pon-,pɔ̀ŋɔ́,pɔ̀ŋɔ́,fonio
dyul1238,A.1.b,fon-d,fó̰dí,fó̰dí,fonio
east2431,A.2.a,fin-ny,finji,finji,fonio (panicum longiflorum)
east2431,E,gan-,ganchi,ganchi,fonio sauvage
gola1255,B.1,pot-,pote,pote,Digitaria exilis  Stapf [family ]
guer1240,B.1,poh,pohim,pohim,Digitaria exilis  Stapf [family ]
guin1254,X,b'in,ɓíníŋ,ɓíníŋ,míniŋ fonio
guin1254,X,min,míníŋ,míníŋ,fonio
guro1248,A.2.a,fin-X,fịnị,fịnị,Digitaria exilis  Stapf [family ]
guru1265,B.1,pon-,pɔ̀ŋɔ́,pɔ̀ŋɔ́,fonio
gusi1246,A.2.b,fin-d,ɛ-fɩndɔ,ɛfɩndɔ,fonio
gusi1246,B.3,boona,ɛ-bɔɔɲa,ɛbɔɔɲa,fonio
hain1253,A.1.a,fon-ny,fw’~`¥,fw’~`¥,fonio
haus1257,O,atcha,atcha,atcha,Digitaria exilis  Stapf [family ]
haus1257,A.2.a,fin,fira,fira,Digitaria exilis  Stapf [family ]
humb1243,E,gan-,gaÑso,gaÑso,fonio
humb1243,C,serembe,sérémb-ò,sérémb-ò,fonio (cultivated grain)
ibis1234,B.1,pon-,pɔ̰̀ɔ̰́,pɔ̌:ⁿ,fonio
igoo1238,K,wubi,ā-wúbī,ā-wúbī,fonio
jalk1242,A.2.c,fin,fīnī,fīnī,fonio (grain) / fonio (céréale)
jams1239,B.1,pon-,pɔ̀ŋɔ́,pɔ̀ŋɔ́,fonio
jena1242,H,hantaya,háÑtááyà ,haÑtaaya,fonio
jena1242,B.1,puw,pùwɔ̰́,pùwɔ́ⁿ,fonio (grain)
jola1263,B.3,boona,ɛ-bɔɔɲa,ɛbɔɔɲa,fonio
jola1263,X,fele,e-fələb,efələb,fonio
kaka1265,A.1.b,fon-d,fóndó,fóndó,fonio m // fonio // фо́нио
kaou1238,A.1.c,fin,fééná̰,fééná̰,fonio
kobi1241,A.2.b,fin-d,findo,findo,fonio
konk1269,P,epich,epich,epich,Digitaria exilis  Stapf [family ]
koro1298,B.2,pen-,peŋɡ-,peŋg-,"noun. grain of fonio, (pl.) fonio (Digitaria exilis); fr: graine de fonio; (pl.) fonio (Digitaria exilis); dt: Foniokorn; (Pl.) Fonio (Digitaria exilis). [Note: White fonio (Digitaria exilis) is common among the Koromba, but black fonio (Digitaria iburua) is not.]"
koro1298,A.2.b,pen,apendi,apendi,Digitaria exilis  Stapf [family ]
koyr1242  ,E,gan-,ganƒi / ganso,ganƒi / ganso,"Panicum Lae ; graminée de la brousse (petite) , fonio"
krio1253,A.1.b,fon-d,funde,funde,Digitaria exilis  Stapf [family ]
kura1250,A.1.b,fon-d,fondiba,fondiba,Digitaria exilis  Stapf [family ]
kuwa1246,B.1,pon-,ɛ-bɔɔɲa,ɛbɔɔɲa,"petit mil, fonio [dial. : Yamáakey]"
land1256,B.2,pen,pende,pende,Digitaria exilis  Stapf [family ]
lele1266,A.1.b,fon-d,fóndé,fóndé,Digitaria exilis fonio m / fonio
limb1267,A.2.b,pin,ampindi,ampindi,Digitaria exilis  Stapf [family ]
limb1267,A.2.b,pen,mpende,mpende,Digitaria exilis  Stapf [family ]
loko1255,B.1,pot,pote,pote,Digitaria exilis  Stapf [family ]
loma1259,B.1,pot,podé,podé,Digitaria exilis  Stapf [family ]
maas1239,C,serembe,seremmbe,seremmbe,fonio
mama1271,A.2.b,fin-ny,fenɛ̰,fenɛ̰,fonio
mand1419,J,uruet,urûët,urûët,fonio
mand1419,A.2.a,fin-d,findi,findi,Digitaria exilis  Stapf [family ]
mand1419,X,uante,uante  urote,uante  urote,Digitaria exilis  Stapf [family ]
mand1436,A.2.b,fin-d,fíndì,fíndì,fonio
mand1436,B.3,bon-,dibong,dibong,Digitaria exilis  Stapf [family ]
mand1436,A.1.a,fun,funi,funi,Digitaria exilis  Stapf [family ]
mand1437,A.1.b,fon,fö,fö,Digitaria exilis  Stapf [family ]
mane1267,A.2.b,fon-d,féidêi,fidi,"fonio préparé, plat de fonio"
mane1267,A.1.a,fon-ny,féonéin,fonin,fonio non préparé
mane1267,A.1.a,fon,foigné,foigné,Digitaria exilis  Stapf [family ]
mane1267,X,fam,fame,fame,Digitaria exilis  Stapf [family ]
mank1251,X,uante,uante  udote,uante  udote,Digitaria exilis  Stapf [family ]
maty1235,A.1.a,fon-ny,f’¥rÀ¥~ [fwÀ~¥À~],f’¥rÀ¥~ [fwÀ~¥À~],fonio
maty1235,B.2,pin,piini,piini,fonio
mend1266,A.1.b,fon-d,fùndé,fùndé,"hungry millet, fundi"
mend1266,B.1,pot#fod,póté,póté,"hungry millet, fundi"
mixi1241,A.1.b,fon-d,fóndé,fóndé,"fonio, le."
momb1254,B.1,pon-,pɔ̰́ɔ̰̀,pɔ̂:ⁿ,fonio
mwan1250,A.2.b,fin-d,fíɗíŋ́,fíɗíŋ́,Digitaria exilis fonio
nalu1240,B.2,pin,pindi,pindi,fonio
nati1243,A.1.c,fon,fóŋɡí,fóŋgí,fonio
nati1243,A.1.c,fon,fòŋké,fòŋké,fonio
nawd1238,A.2.c,fig,figm,figm,Digitaria exilis  Stapf [family ]
nort2765,A.4.b,kpen,kpendo,kpendo,Digitaria exilis  Stapf [family ]
nucl1347  ,X,dekole,deköle  ndengue ,deköle  ndengue ,Digitaria exilis  Stapf [family ]
nucl1347  ,A.1.b,fin-d,findi,findi,Digitaria exilis  Stapf [family ]
pape1239,X,rote,rote  urrote,rote  urrote,Digitaria exilis  Stapf [family ]
pena1270,B.1,pon-,pɔ́ɔ́-ŋɡè,pɔ́:ŋgè,fonio
perg1234,B.1,pon-,pɔ̰̀ɔ̰́,pɔ̌:ⁿ,fonio
pula1262,C,sereme,seremme,seremme,Digitaria exilis (fonio)
pula1262,A.1.a,fon-ny,foɲɲe,foɲɲe,fonio (Digitaria exilis). [[spéc.] ~ho ; [dial.] fonnyo ‘FL’ ; seremme ‘M’.]
pula1263,C,sereme,serene,serene,Digitaria exilis  Stapf [family ]
pula1263,A.1.a,fon-,fonio,fonio,Digitaria exilis  Stapf [family ]
pula1263,A.1.a,foig,foignié,foignié,Digitaria exilis  Stapf [family ]
pula1263,A.1.a,fon-ny,fσnyε,fσnyε,Digitaria exilis  Stapf [family ]
pula1263,C,sereme,sereme,sereme,Digitaria exilis  Stapf [family ]
sann1238,B.2,pin,pi,pi,fonio
seek1238,A.1.c,fon,fón̏,fó (n̏),fonio
senu1239,A.1.c,fin-X,fe,fe,fonio
sere1260,A.1.a,fon-ny,fooɲo,fooɲo,"petite graminée qui pousse à l'état sauvage dans la boucle du Niger ; tige de 35cm maxi se terminant par 2 ou 3 épis longs et frêles couverts de petites graines grisâtre, Digitaris, exilis STAPF, millet, fonio [NB. il est cultivé, en grand, par des Manding du Mali (soudan français) qui en font quelques petits champs au Sénégal ; il en existe plusieurs variétés, les + hatives, semées au début de la saison des pluies, peuvent être récoltées 3 ou 4 mois après... ; Mand. fooño]"
sigi1234,A.1.b,fon-d,fōōɗə̄,fōōɗə̄,acha ; hungry rice
song1307,A.2.b,fin-ny,fingi,fingi,Digitaria exilis  Stapf [family ]
soni1258,B.1,pwe,pwẽ,pwẽ,Digitaria exilis  Stapf [family ]
soni1259,A.1.a,fon-ny,fuñanNo,fuñanNo,fonio
soni1259,A.3.a,hun-,húɲáŋŋè,húɲáŋŋè,fonio
soni1259,A.2.d,fon-ny,fuɲanɲo,fuñanño,fonio
sout2840,A.1.c,fon,fān,fān,Fonio.
susu1250,A.1.b,fon-d,féundéen,funden,"fonio, rougeole"
tada1238,E,gan-,gaÑƒi,gaNSi,fonio
tada1238,F,ifiban,iƒiiban,iSiiban,fonio
tada1238,F,esiban,ësi(i)ban,ësi(i)ban,fonio
timn1235,A.2.b,pen,a-pende,a-pende,Digitaria exilis  Stapf [family ]
timn1235,X,ene,ka-enε ,ka-enε ,Digitaria exilis  Stapf [family ]
timn1235,X,pot,a-pσtc,a-pσtc,Digitaria exilis  Stapf [family ]
timn1235,A.2.b,pen,a-pende,a-pende,Digitaria exilis  Stapf [family ]
togo1254,B.1,pon-,pɔ̀ŋɔ́,pɔ̀ŋɔ́,fonio
tomm1242,B.1,pon-,pɔ̰̀ɔ̰́,pɔ̀ɔ́ⁿ,fonio
tond1249,A.1.c,fin-NY,fíŋɡì,fíŋgì,cultivated fonio (grain)
tuar1240  ,F,ifiban,iƒiban,iƒiban,fonio
turk1306,A.1.c,fon-ny,fomw / fomba,fomw / fomba,fonio
uppe1455,A.1.b,fon-ny,fundo,fundo,Digitaria exilis  Stapf [family ]
vaii1241,B.2,pen,pende,pende,Digitaria exilis  Stapf [family ]
wame1240,X,faro,ifarõbt,ifarõbt,Digitaria exilis  Stapf [family ]
west2452,X,chama,tschamma,tschamma,Digitaria exilis  Stapf [family ]
west2500,A.2.b,fin-d,fíndi,findi,fonio
xaas1235,A.1.b,fon-d,fúndí,fúndí,fonio
yalu1240,A.1.b,fun-d,funde-na,funde-na,Digitaria exilis  Stapf [family ]
yorn1234,B.1,pon-,pɔ̰̀ɔ̰́,pɔ̌:ⁿ,fonio
zarm1239,D,hargey,hárgéy,hargey,fonio (espèce de -) 
zarm1239,E,gan-,gaÑsi,gaÑsi,fonio
zarm1239,E,gan-,gèÑsì,geÑsi,fonio
zarm1239,F,gen-,ɡèŋsì,gèŋsì,fonio
zial1235,B.1,pod,pò̰dè,pò̰dè,fonio | fonio