no,glott_code,style,form,t1,t2
263,tuar1240  ,D,tazul,tŒz‚oli,tŒz‚oli
271,susu1250,W,wore,wàurée,wure
307,mane1267,A,nege,nà´ à´,n´ ´
311,koyr1240,B.1,guro,gourou,gourou
458,humb1243,B.1,guro,guro,guro
459,zarm1239,B.1,guro,goulbibi,goulbibi
587,tama1365,D,tazul,ta–©oli,ta–©oli
595,koyr1240,B.1,guro,guuru,guuru
1081,jena1242,C,mo,mÆ˜,mÆ˜
1211,koyr1240,B.1,guro,gourou bibi,gourou bibi
1312,cent2018,J,jam-,njamndi,njamndi
1349,maty1235,S,se,sÝ,sÝ
1382,biss1248,E,po-,hõr,hõr
1474,humb1243,B.1,guro,guuru,guuru
1557,bass1258,D,do,ndÙ`n,ndÙn
2311,tidi1241,D,tazul,uzzal,uzzal
2955,gamb1252,W,wen,"feer, weñ","feer, weñ"
40,zarm1239,B.1,guro,gúurú,guuru
668,west2500,A,nege,nèe,nee
1359,hain1253,Z,miyew,mìyɛ̀wⁿ,mìyɛ̀wⁿ
1522,dyul1238,A,nege,nà´g´,n´g´
84,koyr1240,B.1,guro,guru,guru
623,taha1241,D,tazul,ta–zôuli,tAzOUli
3481,nucl1347,W,wen,weñ g-,weñ g-
62,koyr1240,I,jini,jinji,jinji
,boko1267,C,mo-,,mo:
,biss1248,E.1/M,po-,,pɔ́ja
,biss1248,E.1,po-,,pɔ̄ja
,biss1248,,ban-,,b'āŋa
,maty1235,E.1,po-,,fɔ́lɔ̄
,maty1235,E.1,po-,,fɔ́lɔ̄
,maya1281,A,nese,,nɛ̄sé
,beng1286,E.2,pen-,,penĩŋ
,tour1242,E.2,pen-,,pɛɛɛ
,wann1242,E.2,pen-,,peli
,guro1248,E.1,po-,,foliˑɛ
,dann1241,E,pio-,,pi8o
,mwan1250,E.2,pii-,,piiçɛ
,gagu1242,E.2,kpe-,,kpɛa
,tomm1242,I.1,ire/era,erⁿa,eⒽrⁿaⒽ 
,donn1239,I.2,ine,inɛ,iⒽnɛⓉ
,yorn1234,I.1,ire/era,ɛrⁿɛ,ɛⒽrⁿɛⒽ
,tomm1242,I.2,ine,inɛ,iⒽnɛⒽ
,jams1239,I.1,ire/era,irⁿɛ,irⁿɛ
,perg1234,I.2,ine,inɛm,iⒽ:nɛⒽm
,jams1239,I.1,ire/era,erⁿe,eⒽ:rⁿeⒽ
,togo1254,I.3,iwiri,iwⁿirⁿi,iⓉwⁿiⓉrⁿiⒽ
,jams1239,I.1,ire/era,irⁿɛ,iⒽ:rⁿɛⒽ 
,dogu1235,I.2,inan,inaŋ,iⒽnaⓉ-ŋⓉ 
,dogu1235,I.2,inan,inaŋ,iⒽnaⒽŋ
,tebu1239,I.4,nde,ndɛ,nⒽdɛⒽ
,yand1257,I.2,inar,ʔənarⁿa,ʔəⒽnaⒽrⁿaⒽ
,bond1248,I.2,inon,inoŋgo,iⒽnoⒽ-ŋgoⒽ
,tira1258,K,men-,mɛŋɔ,mɛⒽ:ŋɔⒽ 
,bent1238,I.1,ire/era,irⁿɛyⁿ,iⒽ:rⁿɛⒽyⁿ
,bank1259,I.1,ire/era,ŋirⁿeyⁿ,ŋiⒽrⁿeⒽyⁿ
,nang1261,I.4,inda,inda,iⒽ:ndaⒽ
,momb1254,L,dube,dube,duⒽbeⓉ
,buno1241,L,dube,dubɛ,duⒽbɛⓉ
,pena1270,L,dube,dubɛ,duⓉbɛⓉ
Nzima,nzim1238,K,gbula,bùlàlɛ́,*gbula-
Mbato,mbat1247,D,do,ódɛ̃̌-ɓí,
Krobu,krob1245,K,gbrúa᷈,gbrúa᷈,*gbula-
Ebrié,ebri1238,D,do,ádònɛ̃̀,
Anyin,anyi1245,K,bùlálɛ̂,bùlálɛ̂,
Abidji,abid1235,N,liakpa,lɩ́ã́kpã̀,
Abé,abee1242,G,gbo,ògbó,*gbula-
Abron,abro1238,D,do,dàdíɛ́,
Abure,abur1243,K,òbúlɔ̀,òbúlɔ̀,*gbula-
Adioukrou,adio1239,D,do,lôwì,
Alladian,alla1248,P,pritu,prítù,
Attié,atti1239,D,do,lɔkɥĩ̀,
Avikam,avik1243,P,pritu,prútù,
Baoulé,baou1238,K,blàiɛ,blàiɛ,*gbula-
Moloko,molo1266,H,hara,hara,
Moore,moss1236,M,bãnga,bãnga,
Godié,godi1239,L,lato,lätö,
Soninke,soni1259,F,mexe,mexe,
Yoruba,yoru1245,I,Irin,Irin,